Date,Close,High,Low,Open,Volume
2016-02-23,12763.400390625,12962.7998046875,12727.5,12867.599609375,235355100
2016-02-24,12740.2998046875,12754.900390625,12506.099609375,12727.400390625,312129400
2016-02-25,12753.599609375,12753.599609375,12633.7001953125,12724.0,248831300
2016-02-26,12797.7998046875,12915.7001953125,12781.2001953125,12817.5,255406600
2016-02-29,12860.400390625,12912.599609375,12784.7998046875,12820.099609375,299128600
2016-03-01,12982.099609375,12998.5,12896.2998046875,12896.2998046875,285256700
2016-03-02,13017.900390625,13030.400390625,12858.0,12985.2001953125,295879500
2016-03-03,13123.7001953125,13157.400390625,13025.5,13055.2001953125,343296700
2016-03-04,13212.5,13281.7998046875,13150.5,13150.5,394167400
2016-03-07,13383.599609375,13447.7001953125,13235.2998046875,13235.2998046875,343216600
2016-03-08,13311.099609375,13391.7998046875,13256.7998046875,13374.099609375,330238400
2016-03-09,13392.900390625,13435.900390625,13342.7001953125,13346.2001953125,300409700
2016-03-10,13379.099609375,13513.2001953125,13298.2998046875,13423.599609375,274931600
2016-03-11,13522.0,13543.2998046875,13434.5,13434.5,239951500
2016-03-14,13477.5,13530.2998046875,13426.099609375,13520.099609375,232678300
2016-03-15,13400.2998046875,13400.2998046875,13284.2001953125,13383.099609375,245980600
2016-03-16,13478.099609375,13507.2998046875,13402.0,13410.5,265553600
2016-03-17,13621.2998046875,13685.5,13494.599609375,13505.2001953125,314587600
2016-03-18,13497.099609375,13621.7998046875,13490.099609375,13607.900390625,680620500
2016-03-21,13561.099609375,13567.400390625,13479.2998046875,13496.0,182302300
2016-03-22,13493.5,13565.400390625,13493.5,13527.099609375,191544100
2016-03-23,13379.5,13503.099609375,13365.0,13503.099609375,247556200
2016-03-24,13358.099609375,13358.099609375,13255.5,13302.900390625,192384300
2016-03-28,13390.2001953125,13395.5,13277.2001953125,13369.2998046875,133834300
2016-03-29,13426.2001953125,13443.7998046875,13270.2001953125,13353.599609375,189196700
2016-03-30,13504.0,13575.0,13475.400390625,13475.400390625,212730200
2016-03-31,13494.400390625,13548.2001953125,13475.2998046875,13495.5,219047700
2016-04-01,13440.400390625,13440.7998046875,13323.599609375,13404.599609375,205610900
2016-04-04,13336.2001953125,13452.900390625,13314.599609375,13450.0,162699600
2016-04-05,13304.7001953125,13326.5,13262.2001953125,13309.2998046875,181700400
2016-04-06,13347.5,13348.0,13237.900390625,13308.900390625,209952600
2016-04-07,13266.400390625,13327.2998046875,13217.2001953125,13327.2998046875,209397600
2016-04-08,13396.7001953125,13428.7998046875,13328.400390625,13328.400390625,223954300
2016-04-11,13422.7998046875,13529.0,13422.099609375,13422.099609375,215507800
2016-04-12,13581.400390625,13632.7998046875,13444.5,13447.5,287997300
2016-04-13,13671.400390625,13703.599609375,13608.900390625,13617.900390625,236988900
2016-04-14,13668.2998046875,13701.099609375,13629.599609375,13680.0,227931800
2016-04-15,13637.2001953125,13657.599609375,13596.2001953125,13632.2001953125,201683900
2016-04-18,13719.7998046875,13730.599609375,13548.7998046875,13595.599609375,223276100
2016-04-19,13867.2998046875,13871.7998046875,13739.2001953125,13761.099609375,260806600
2016-04-20,13911.2998046875,13971.7998046875,13854.0,13873.0,302419700
2016-04-21,13881.2001953125,13963.099609375,13844.7001953125,13924.2001953125,263388500
2016-04-22,13874.0,13928.7998046875,13854.400390625,13874.7001953125,224861200
2016-04-25,13796.0,13861.099609375,13756.0,13861.099609375,182890300
2016-04-26,13809.400390625,13862.400390625,13793.0,13821.400390625,223160700
2016-04-27,13887.7001953125,13902.7998046875,13823.5,13833.900390625,267456600
2016-04-28,13886.400390625,13966.5,13780.2001953125,13874.099609375,300923200
2016-04-29,13951.5,13972.599609375,13889.2001953125,13891.7001953125,330816400
2016-05-02,13865.599609375,13963.900390625,13836.400390625,13963.900390625,240760400
2016-05-03,13707.7001953125,13842.099609375,13599.900390625,13842.099609375,254404600
2016-05-04,13632.0,13734.099609375,13570.0,13680.7001953125,242917200
2016-05-05,13632.0,13758.900390625,13578.7998046875,13683.7998046875,241876000
2016-05-06,13701.5,13768.400390625,13597.599609375,13621.7998046875,236543900
2016-05-09,13563.7998046875,13663.599609375,13535.5,13663.599609375,200744000
2016-05-10,13775.2001953125,13798.0,13582.0,13582.0,217463600
2016-05-11,13788.2001953125,13829.7001953125,13737.2998046875,13779.0,256547100
2016-05-12,13787.7998046875,13882.5,13670.2001953125,13843.099609375,229066300
2016-05-13,13748.599609375,13833.599609375,13725.5,13774.2998046875,221864700
