Date,Close,High,Low,Open,Volume
2016-02-24,16719.0,17231.0,16588.0,17158.0,816618000
2016-02-25,17105.0,17198.0,16877.0,16940.0,0
2016-02-26,17484.0,17550.0,17253.0,17299.0,812900200
2016-02-29,17623.0,17643.0,17221.0,17342.0,1025129800
2016-03-01,18012.0,18012.0,17534.0,17557.0,810296800
2016-03-02,18206.0,18223.0,18012.0,18143.0,940714000
2016-03-03,18349.0,18353.0,18129.0,18218.0,828014600
2016-03-04,18279.0,18449.0,18061.0,18415.0,883470500
2016-03-07,18059.0,18253.0,17847.0,18196.0,756003700
2016-03-08,18018.0,18217.0,17729.0,17906.0,1077184500
2016-03-09,18209.0,18369.0,17982.0,17982.0,852333900
2016-03-10,18118.0,19012.0,18114.0,18229.0,1358020600
2016-03-11,18988.0,18994.0,18471.0,18489.0,1148534600
2016-03-14,18982.0,19217.0,18847.0,19125.0,916566900
2016-03-15,18765.0,18959.0,18679.0,18892.0,764011700
2016-03-16,18732.0,18943.0,18610.0,18821.0,667249800
2016-03-17,18608.0,18927.0,18344.0,18921.0,1002394600
2016-03-18,18611.0,18770.0,18468.0,18704.0,1031776400
2016-03-21,18697.0,18880.0,18482.0,18556.0,696384000
2016-03-22,18699.0,18699.0,18286.0,18554.0,625778900
2016-03-23,18463.0,18828.0,18402.0,18758.0,529583000
2016-03-24,18166.0,18469.0,18140.0,18399.0,740972300
2016-03-29,18172.0,18468.0,18031.0,18252.0,659251600
2016-03-30,18375.0,18497.0,18256.0,18257.0,718312200
2016-03-31,18117.0,18300.0,17972.0,18235.0,919732300
2016-04-01,17777.0,18084.0,17738.0,17855.0,767394500
2016-04-04,17639.0,17934.0,17575.0,17700.0,725357800
2016-04-05,17109.0,17460.0,17104.0,17390.0,812957900
2016-04-06,17241.0,17392.0,17036.0,17214.0,791651100
2016-04-07,16818.0,17322.0,16778.0,17274.0,734568600
2016-04-08,17505.0,17509.0,16956.0,16961.0,914051000
2016-04-11,17723.0,17856.0,17324.0,17453.0,837986500
2016-04-12,17445.0,17861.0,17232.0,17742.0,1050281000
2016-04-13,18166.0,18166.0,17696.0,17714.0,1002466400
2016-04-14,18329.0,18329.0,17985.0,18206.0,841395900
2016-04-15,18257.0,18322.0,18161.0,18282.0,662963000
2016-04-18,18358.0,18412.0,17904.0,17939.0,784905600
2016-04-19,18448.0,18637.0,18345.0,18427.0,879547200
2016-04-20,18658.0,18677.0,18266.0,18363.0,663725800
2016-04-21,18733.0,18742.0,18532.0,18687.0,833223800
2016-04-22,18687.0,18779.0,18560.0,18739.0,588524400
2016-04-25,18403.0,18744.0,18333.0,18681.0,557291100
2016-04-26,18670.0,18764.0,18482.0,18520.0,723437000
2016-04-27,18751.0,18780.0,18595.0,18708.0,648349700
2016-04-28,18977.0,19023.0,18540.0,18650.0,989846200
2016-04-29,18601.0,19063.0,18601.0,18801.0,805039700
2016-05-02,18420.0,18689.0,18271.0,18689.0,697855200
2016-05-03,17967.0,18412.0,17889.0,18401.0,781635300
2016-05-04,17936.0,18131.0,17910.0,17986.0,675534900
2016-05-05,17924.0,18215.0,17846.0,18022.0,0
2016-05-06,17843.0,17990.0,17592.0,17895.0,686615800
2016-05-09,17686.0,17973.0,17653.0,17968.0,600202100
2016-05-10,17935.0,18068.0,17742.0,17819.0,702599000
2016-05-11,17698.0,17946.0,17510.0,17915.0,841386900
2016-05-12,17651.0,17913.0,17556.0,17627.0,706939100
2016-05-13,17729.0,17857.0,17434.0,17563.0,689878700
2016-05-16,17737.0,17779.0,17535.0,17653.0,579766800
