Date,Close,High,Low,Open,Volume
2016-02-24,7689.56005859375,7808.080078125,7641.02001953125,7795.2998046875,68636700
2016-02-25,7794.0498046875,7815.9599609375,7717.89990234375,7803.02978515625,63118400
2016-02-26,7877.02978515625,7921.97998046875,7841.4599609375,7858.77001953125,59908200
2016-02-29,7843.6298828125,7862.2001953125,7762.52001953125,7789.56982421875,57682300
2016-03-01,7962.22021484375,7963.259765625,7810.4599609375,7823.72998046875,58180900
2016-03-02,8039.89013671875,8039.89013671875,7955.64990234375,7994.43994140625,73883000
2016-03-03,7950.83984375,8007.0,7944.52978515625,8000.240234375,65197800
2016-03-04,7982.56982421875,8015.5,7921.41015625,7970.33984375,66315200
2016-03-07,8019.1298828125,8022.93994140625,7934.97998046875,7964.58984375,52612400
2016-03-08,7971.14990234375,8013.14013671875,7931.68994140625,7954.169921875,61638400
2016-03-09,7975.81005859375,8031.18017578125,7937.60986328125,7946.81982421875,61175600
2016-03-10,7893.66015625,8095.43017578125,7893.66015625,7968.16015625,80155600
2016-03-11,7998.43017578125,8005.43994140625,7953.64013671875,7987.85986328125,60699500
2016-03-14,8018.35986328125,8053.330078125,7997.83984375,8019.43994140625,49748400
2016-03-15,7953.93017578125,8000.5400390625,7941.52001953125,7978.06982421875,66691900
2016-03-16,7916.43017578125,7970.60009765625,7892.06982421875,7962.08984375,72924400
2016-03-17,7861.7900390625,7952.6298828125,7785.259765625,7940.16015625,69419300
2016-03-18,7813.68017578125,7878.990234375,7786.02001953125,7870.64990234375,183950400
2016-03-21,7849.56982421875,7884.5,7788.7998046875,7800.35986328125,53119800
2016-03-22,7853.06982421875,7853.06982421875,7719.41015625,7795.2900390625,51209900
2016-03-23,7894.35986328125,7928.2900390625,7855.169921875,7899.56982421875,59827900
2016-03-24,7775.580078125,7839.31005859375,7765.33984375,7833.52978515625,47378400
2016-03-29,7797.64990234375,7828.06982421875,7738.0400390625,7812.2001953125,51570100
2016-03-30,7845.080078125,7867.39990234375,7826.56982421875,7840.60009765625,52924300
2016-03-31,7807.89013671875,7835.7001953125,7786.56005859375,7816.740234375,57508100
2016-04-01,7688.33984375,7700.08984375,7607.740234375,7688.580078125,63657200
2016-04-04,7731.81005859375,7757.47998046875,7646.72998046875,7679.43017578125,54777700
2016-04-05,7673.669921875,7681.02001953125,7611.58984375,7660.4501953125,74867500
2016-04-06,7768.22998046875,7769.0498046875,7629.7099609375,7649.9599609375,59473000
2016-04-07,7761.35009765625,7830.02978515625,7745.52001953125,7792.9501953125,55557300
2016-04-08,7817.5498046875,7817.5498046875,7765.9599609375,7792.830078125,56836600
2016-04-11,7751.580078125,7810.16015625,7705.9599609375,7752.3701171875,51524100
2016-04-12,7788.77978515625,7795.93994140625,7676.669921875,7718.16015625,50333500
2016-04-13,7934.4599609375,7934.4599609375,7833.68994140625,7842.7900390625,72203800
2016-04-14,8021.0,8031.0400390625,7939.7099609375,7949.169921875,55582500
2016-04-15,8014.60009765625,8033.27001953125,7956.93017578125,8000.1298828125,58334300
2016-04-18,8044.60009765625,8048.509765625,7923.97998046875,7950.33984375,37731200
2016-04-19,8152.759765625,8157.990234375,8065.4501953125,8074.06982421875,50354500
2016-04-20,8186.97021484375,8187.97021484375,8108.419921875,8138.0,60032400
2016-04-21,8159.669921875,8210.9296875,8080.89990234375,8208.5498046875,67686300
2016-04-22,8109.43994140625,8135.7001953125,8096.18017578125,8135.52978515625,61086100
2016-04-25,8079.89013671875,8140.39990234375,8046.27001953125,8122.509765625,48121700
2016-04-26,8077.18017578125,8132.60986328125,8062.240234375,8119.8798828125,53119500
2016-04-27,8096.759765625,8108.41015625,8056.81982421875,8087.91015625,44389000
2016-04-28,8099.419921875,8102.31005859375,7981.0400390625,8052.9599609375,45963300
2016-04-29,7960.85009765625,8025.83984375,7938.8701171875,8025.83984375,64206000
2016-05-02,7977.77001953125,7993.6298828125,7958.1201171875,7985.259765625,28313900
2016-05-03,7850.68017578125,7940.7001953125,7817.43994140625,7938.5,66422400
2016-05-04,7752.97021484375,7882.27978515625,7752.3798828125,7853.0498046875,49923300
2016-05-06,7735.60009765625,7758.52978515625,7689.509765625,7743.009765625,52914000
2016-05-09,7824.9501953125,7845.080078125,7756.56982421875,7784.330078125,48148100
2016-05-10,7934.93017578125,7959.68994140625,7883.43994140625,7896.6201171875,51081100
2016-05-11,7937.8798828125,7938.509765625,7889.33984375,7938.509765625,47223200
2016-05-12,7885.85009765625,7971.58984375,7846.72021484375,7891.72021484375,59838000
2016-05-13,7925.759765625,7947.89013671875,7829.009765625,7844.60009765625,52696900
2016-05-17,7906.759765625,7977.68994140625,7878.47998046875,7931.02001953125,63751900
2016-05-18,7973.93017578125,7973.93017578125,7886.509765625,7887.27978515625,56699900
2016-05-19,7908.7900390625,7961.5,7904.10986328125,7943.509765625,62783400
2016-05-20,7997.2998046875,8011.330078125,7944.58984375,7947.4599609375,63940800
2016-05-23,8038.4599609375,8074.06005859375,7968.64013671875,8012.02978515625,49143000
2016-05-24,8125.240234375,8138.080078125,7979.509765625,7982.22021484375,52936800
2016-05-25,8167.60986328125,8187.7099609375,8140.89990234375,8151.1201171875,54870700
2016-05-26,8229.5498046875,8234.2802734375,8159.669921875,8180.31005859375,51762300
2016-05-27,8292.4501953125,8307.5703125,8257.9697265625,8278.4501953125,48752400
2016-05-30,8277.830078125,8310.8798828125,8270.4697265625,8305.9599609375,25913700
2016-05-31,8216.419921875,8290.51953125,8182.419921875,8281.7197265625,83052100
2016-06-01,8185.52978515625,8239.3701171875,8167.740234375,8191.14990234375,53812200
