Date,Close,High,Low,Open,Volume
2016-02-24,163.7444305419922,164.02411979021895,160.45599005788205,161.56626338930866,150812200
2016-02-25,165.72767639160156,165.73616005353884,163.43085424620034,164.19363374068834,110728300
2016-02-26,165.34620666503906,166.69378915525647,165.1851723550624,166.60057237832814,129833700
2016-02-29,164.04954528808594,166.3124714663264,163.85461505974905,165.36323251190936,125918100
2016-03-01,167.90585327148438,167.99061229471093,164.8038592481139,165.27847874039568,141799700
2016-03-02,168.66015625,168.71100648923135,167.17696392116832,167.5922624289091,102415000
2016-03-03,169.32122802734375,169.33818241717043,167.90584038845594,168.48216031846093,95172200
2016-03-04,169.87210083007812,170.6518474721584,168.68555234414472,169.51613628429809,129293600
2016-03-07,170.0077362060547,170.4145639772772,168.8720377759822,168.94831313343246,100219000
2016-03-08,168.15164184570312,169.43990405280857,167.99062038567533,168.93138868619116,123974900
2016-03-09,168.98220825195312,169.3296891630479,168.1770364359287,168.96525386308696,94801200
2016-03-10,169.11778259277344,170.41452805815925,167.28710973777427,169.47376005066465,156838700
2016-03-11,171.8468780517578,171.8892575574317,169.1008619648578,170.57557047599764,137964500
2016-03-14,171.62652587890625,172.08419092432308,171.00782646841748,171.3383659268879,73612000
2016-03-15,171.3468780517578,171.65199246655303,170.39763895346726,170.6603738515718,93169100
2016-03-16,172.3384552001953,172.74528294364353,170.82136715403325,170.863746660527,129303200
2016-03-17,173.43182373046875,173.94033911892367,171.85540145467496,172.25374562179147,134278500
2016-03-18,174.1133270263672,174.45408574269595,173.6192177883122,173.9344202508719,138372400
2016-03-21,174.36036682128906,174.59038609334056,173.61920949914784,173.84922877119934,72926700
2016-03-22,174.26663208007812,174.83740997309445,173.42324986461207,173.58510177528976,97471900
2016-03-23,173.1166229248047,174.07075788850645,172.94623053918883,173.88333666362018,81052500
2016-03-24,173.03988647460938,173.0739701406084,171.8642599798402,172.08575181239442,84360900
2016-03-28,173.14212036132812,173.6703001797799,172.6906092908885,173.45732276922877,62408200
2016-03-29,174.7436981201172,174.85445053108205,172.42650290019068,172.73319088515476,92922900
2016-03-30,175.51048278808594,176.23459841001417,175.14415476831107,175.7490165222639,86365300
2016-03-31,175.08445739746094,175.84265639016868,174.9225925002916,175.41670160776863,94584100
2016-04-01,176.2771453857422,176.46456655097563,173.77252890408602,174.0877443178567,114423500
2016-04-04,175.70635986328125,176.40493199418893,175.39967187882826,176.2004690048505,63497000
2016-04-05,173.95144653320312,175.7148928811558,173.69587101925197,174.36035955605857,99662200
2016-04-06,175.8511962890625,175.91083620681303,173.77253456987023,173.95144132401163,91839800
2016-04-07,173.74700927734375,175.1185846397806,173.0143662949406,174.76078406685522,113859000
2016-04-08,174.21551513671875,175.36559830914754,173.67880792303743,174.9311160888878,95040600
2016-04-11,173.80665588378906,175.55307372280527,173.71294527781905,174.85450138755357,83757500
2016-04-12,175.42526245117188,175.70639424185225,173.53402167685792,173.97701840754624,115350600
2016-04-13,177.19725036621094,177.28244655160904,176.20903181168921,176.34534050868106,96336400
2016-04-14,177.2057647705078,177.70840146573477,176.85649160827506,177.25689028121016,65212900
2016-04-15,177.00979614257812,177.3420404050816,176.68606629738127,177.2057317335134,75761600
2016-04-18,178.25360107421875,178.28767174466802,176.3453185512785,177.00980711748485,82531000
2016-04-19,178.81582641601562,179.07140190523577,177.9980004494424,178.67953075432632,88316100
2016-04-20,178.9862518310547,179.68481109835025,178.3813901613822,178.8584575632644,81100300
2016-04-21,178.02362060546875,179.11406428508735,177.75100318600707,179.0033118335418,85695000
2016-04-22,178.02362060546875,178.29622502581637,177.12059815195153,177.66581999176083,99251700
2016-04-25,177.71685791015625,177.75945598895555,176.80530842046429,177.4186843576699,66166500
2016-04-26,177.98094177246094,178.4920927025245,177.50387450392594,178.0831667588304,75864200
2016-04-27,178.3473358154297,178.7392070746571,177.2398503887596,177.59765097292447,77329400
2016-04-28,176.72865295410156,178.6965621508387,176.31122554819342,177.58909001351464,97216200
2016-04-29,175.77452087402344,176.456051198613,174.6670357214541,176.10676511988328,142424100
2016-05-02,177.17169189453125,177.35058568287192,175.8427146132642,176.27718395548993,62188000
2016-05-03,175.62974548339844,176.1749672912992,174.88006062286738,175.9364335627872,106422100
2016-05-04,174.64999389648438,175.36560788684616,174.14737031923184,174.63296506272343,92243800
2016-05-05,174.6159210205078,175.47634508249976,174.18996619789823,175.11854459140085,67619200
2016-05-06,175.25491333007812,175.2975114267632,173.68740216533374,173.8407397144632,89315000
2016-05-09,175.39967346191406,175.83414269418165,174.9481623972705,175.127069139445,74374900
2016-05-10,177.58058166503906,177.59762349949054,176.03862712451112,176.106781463206,77472200
2016-05-11,175.91932678222656,177.65721659112123,175.91932678222656,177.12052239965394,81727000
