sector,indicator,type,hit_rate,trades
Consumer Defensive,BB 30,KPI,,3
Consumer Defensive,Nadaraya-Watson Envelop (MAE),KPI,,15
Consumer Defensive,C3,Combo,0.75,48
Consumer Defensive,C4,Combo,0.7894736842105263,38
Consumer Defensive,C5,Combo,0.7575757575757576,33
Financial Services,Nadaraya-Watson Smoother,KPI,0.6783952647155541,3041
Financial Services,cRSI,KPI,0.6135629709364908,1858
Financial Services,SR Breaks,KPI,0.75,52
Financial Services,Stoch_MTM,KPI,0.5426829268292683,164
Financial Services,CM_P-SAR,KPI,0.5730647709320695,2532
Financial Services,WT_LB,KPI,0.6084558823529411,1632
Financial Services,ADX & DI,KPI,0.596368138671069,2423
Financial Services,SQZMOM_LB,KPI,0.6101468624833111,2247
Financial Services,CM_Ult_MacD_MFT,KPI,0.58698224852071,1690
Financial Services,SuperTrend,KPI,0.6020738820479585,3086
Financial Services,UT Bot Alert,KPI,0.580948312686886,2341
Financial Services,Ichimoku,KPI,0.6141630901287554,2330
Financial Services,MA Ribbon,KPI,,0
Financial Services,Madrid Ribbon,KPI,0.6175051688490696,1451
Financial Services,Donchian Ribbon,KPI,0.6178270849273144,2614
Financial Services,DEMA,KPI,0.596579476861167,1988
Financial Services,TuTCI,KPI,0.6112198303979126,1533
Financial Services,GMMA,KPI,0.6029055690072639,2478
Financial Services,Mansfield RS,KPI,0.6097560975609756,1476
Financial Services,OBVOSC_LB,KPI,0.6167571761055082,2578
Financial Services,BB 30,KPI,,0
Financial Services,Nadaraya-Watson Envelop (MAE),KPI,0.7692307692307693,39
Financial Services,C3,Combo,0.8421052631578947,38
Financial Services,C4,Combo,,0
Financial Services,C5,Combo,,0
Healthcare,Nadaraya-Watson Smoother,KPI,0.6633499170812603,1206
Healthcare,cRSI,KPI,0.49700598802395207,1002
Healthcare,SR Breaks,KPI,0.5502392344497608,209
Healthcare,Stoch_MTM,KPI,0.6375,80
Healthcare,CM_P-SAR,KPI,0.5047291487532244,1163
Healthcare,WT_LB,KPI,0.49949135300101727,983
Healthcare,ADX & DI,KPI,0.5015576323987538,963
Healthcare,SQZMOM_LB,KPI,0.5178970917225951,894
Healthcare,CM_Ult_MacD_MFT,KPI,0.5012919896640827,1161
Healthcare,SuperTrend,KPI,0.4540103016924209,1359
Healthcare,UT Bot Alert,KPI,0.5074468085106383,940
Healthcare,Ichimoku,KPI,0.5312,625
Healthcare,MA Ribbon,KPI,,0
Healthcare,Madrid Ribbon,KPI,0.6112676056338028,355
Healthcare,Donchian Ribbon,KPI,0.49130938586326767,863
Healthcare,DEMA,KPI,0.49958779884583676,1213
Healthcare,TuTCI,KPI,0.4949238578680203,788
Healthcare,GMMA,KPI,0.49836065573770494,610
Healthcare,Mansfield RS,KPI,0.532150776053215,451
Healthcare,OBVOSC_LB,KPI,0.48756660746003555,1126
Healthcare,BB 30,KPI,,3
Healthcare,Nadaraya-Watson Envelop (MAE),KPI,0.6,20
Healthcare,C3,Combo,0.5,26
Healthcare,C4,Combo,,0
Healthcare,C5,Combo,,0
Industrials,Nadaraya-Watson Smoother,KPI,0.6884531590413944,2295
Industrials,cRSI,KPI,0.5427756653992395,2104
Industrials,SR Breaks,KPI,0.4692874692874693,407
Industrials,Stoch_MTM,KPI,0.5664621676891616,489
Industrials,CM_P-SAR,KPI,0.5539331135186057,2123
Industrials,WT_LB,KPI,0.5763546798029556,1624
Industrials,ADX & DI,KPI,0.5394594594594595,1850
Industrials,SQZMOM_LB,KPI,0.565512978986403,1618
Industrials,CM_Ult_MacD_MFT,KPI,0.5615292712066906,1674
Industrials,SuperTrend,KPI,0.5378115758343895,2367
