ticker
3BRL.L
ACHC
ALREW.PA
AMN
ATE.PA
BETZ
CE
CLDD.DE
COCO.L
COTN.SW
CVGI
CYBR
DPGA.DE
DSY.PA
DX-Y.NYB
EIDO
ERA.PA
EXV5.DE
EXV7.DE
FDJ.PA
FINX
IPAY
IPS.PA
IRDM
IUSB
IUSS.DE
JACK
KFTK.DE
KGRN
KNIN.SW
LULU
MBUU
MEI
MGPI
MRNA
NEOG
NKE
OFLX
PACB
PLUG
PRTA
PUM.DE
QDV5.DE
QFIN
RCO.PA
RI.PA
RIZF.DE
ROG
SC06.DE
SMIN
STZ
SUGA.L
SWBI
TGT
THRM
UNH
VEGI
W3B3.DE
XPEV
XS8R.DE
